Category Name,Name,Phone,Address,Rating Count,Open Status,Review Snippet
Find People,N/A,N/A,N/A,N/A,N/A,N/A
Restaurants,Rocco's Neighborhood Pizza,(323) 655-0058,"6335 Wilshire Blvd, Los Angeles, CA 90048",8,CLOSED NOW,"Rocco's Italian Kitchen is the best restaurant i had ever seen... Awesome food quality."""
